Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to Westminster City Council,GBP,180000,2019-08-27,LB Westminster,Greater London Authority,Housing and Land,Homebuilding Capacity Fund
The Conservation Volunteers,GBP,113628,2019-09-23,The Conservation Volunteers,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund
The Woodland Trust,GBP,99990,2019-09-25,The Woodland Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund
Trees for Cities,GBP,18088,2019-09-23,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund
Grant to 'Indoamerican Refugee Migrant Organisation',GBP,1980,2018-11-01,Indoamerican Refugee Migrant Organisation,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'Lambeth Law Centre',GBP,2000,2018-11-01,Lambeth Law Centre,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'London Bulgarian Association',GBP,850,2018-11-01,London Bulgarian Association,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'New Europeans',GBP,2000,2018-11-18,New Europeans,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'WLM Seymour Place',GBP,2000,2018-11-01,WLM Seymour Place,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'Citizens Advice Bureau Enfield',GBP,1925,2018-11-20,Citizens Advice Bureau Enfield,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'Citizens Advice Bureau Wandsworth',GBP,2000,2018-11-01,Citizens Advice Bureau Wandsworth,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'DISIRE',GBP,1850,2018-11-01,DISIRE,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'East European Resource Centre',GBP,2000,2018-11-12,East European Resource Centre,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 1
Grant to 'Latin American Women's Rights Service',GBP,4940,2019-03-19,Latin American Women's Rights Service,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 2
Grant to 'Work Rights Centre',GBP,4960,2019-03-19,Work Rights Centre,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 2
Grant to 'New Europeans',GBP,4870,2019-03-19,New Europeans,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 2
Grant to 'Migrants Resource Centre',GBP,4936,2019-03-19,Migrants Resource Centre,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 2
Grant to 'Bulgarian Centre for Social Integration and Culture',GBP,4978,2019-03-20,The Bulgarian Centre for Social Integration and Culture,Greater London Authority,Communities and Social Policy,European Outreach Microgrants Round 2
Grant to 'Council of Somali Organisations',GBP,5000,2019-12-10,Council of Somali Organisations,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'East European Resource Centre',GBP,5000,2019-12-10,East European Resource Centre,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Islington Law Centre',GBP,5000,2019-12-10,Islington Law Centre,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Latin American House',GBP,5000,2019-12-10,Latin American House,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Refugee & Migrant Forum of Essex & London',GBP,4947,2019-12-10,Refugee & Migrant Forum of Essex & London,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Settled',GBP,5000,2019-12-10,Settled,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Coram Children's Legal Centre',GBP,5000,2019-12-10,Coram Children's Legal Centre,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Skills Enterprise',GBP,4977,2019-12-10,Skills Enterprise,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Work Rights Centre',GBP,4970,2019-12-10,Work Rights Centre,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'The AIRE Centre',GBP,5000,2019-12-10,The AIRE Centre,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to 'Migrants Organise',GBP,5000,2019-12-10,Migrants Organise,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
East End Citizens Advice Bureaux,GBP,5000,2019-12-10,East End Citizens Advice Bureaux,Greater London Authority,Communities and Social Policy,European Microgrants Round 3
Grant to Froglife,GBP,40000,2020-01-29,Froglife,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Foulds School,GBP,18522.96,2020-01-29,Foulds School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Thames21,GBP,25000,2020-01-29,Thames21,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Thames21,GBP,30000,2020-01-29,Thames21,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Valley Primary School PTA,GBP,30000,2020-01-29,Valley Primary School PTA,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Wildlife Trust,GBP,40000,2020-01-29,London Wildlife Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Minster Nursery and Infant School,GBP,15000,2020-01-29,Minster Nursery and Infant School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Foxley,GBP,11000,2020-01-29,Friends of Foxley,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Socco Cheta Community Hub,GBP,8595.99,2020-01-29,Socco Cheta Community Hub,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Zoological Society of London,GBP,18370,2020-01-29,Zoological Society of London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Enfield,GBP,40000,2020-01-29,London Borough of Enfield,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Metro Charity,GBP,19987.21,2020-01-29,Metro Charity,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Hackney,GBP,40000,2020-01-29,London Borough of Hackney,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to St Dominic's Catholic Primary School,GBP,20000,2020-01-29,St Dominic's Catholic Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Canal and Commercial Residents Association,GBP,15000,2020-01-29,Canal and Commercial Residents Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to OrganicLea Community Growers,GBP,27800,2020-01-29,OrganicLea Community Growers,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Haringey,GBP,20000,2020-01-29,London Borough of Haringey,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Lancasterian Primary School,GBP,10000,2020-01-29,Lancasterian Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Harmony Garden,GBP,8000,2020-01-29,Friends Of Harmony Garden,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Tiverton Primary School London,GBP,5250,2020-01-29,Tiverton Primary School London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Hillingdon,GBP,40000,2020-01-29,London Borough of Hillingdon,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Hillingdon,GBP,29990,2020-01-29,London Borough of Hillingdon,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Royal Brompton & Harefield Hospitals Charity,GBP,20000,2020-01-29,Royal Brompton & Harefield Hospitals Charity,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Hounslow,GBP,40000,2020-01-29,London Borough of Hounslow,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to The Orchard Project,GBP,20100,2020-01-29,The Orchard Project,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Islington Play Association,GBP,34000,2020-01-29,Islington Play Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Highbury Vale Blackstock Trust,GBP,27978,2020-01-29,Highbury Vale Blackstock Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Freightliners City Farm,GBP,15755,2020-01-29,Freightliners City Farm,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Elizabeth Garrett Anderson School,GBP,5018,2020-01-29,Elizabeth Garrett Anderson School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Loughborough Junction Action Group,GBP,36728,2020-01-29,Loughborough Junction Action Group,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Lambeth,GBP,24945,2020-01-29,London Borough of Lambeth,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Lambeth,GBP,11693,2020-01-29,London Borough of Lambeth,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Bankside Open Spaces Trust,GBP,40000,2020-01-29,Bankside Open Spaces Trust (BOST),Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Torridon PTA,GBP,13500,2020-01-29,Friends of Torridon PTA,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Lewisham Homes,GBP,5500,2020-01-29,Lewisham Homes,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Lewisham Homes,GBP,5000,2020-01-29,Lewisham Homes,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Forest Gate Community Garden,GBP,28700,2020-01-29,Forest Gate Community Garden,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Calverton Primary School,GBP,10270,2020-01-29,Calverton Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Green Hands Newham,GBP,9375,2020-01-29,Green Hands Newham,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Southwark,GBP,40000,2020-01-29,London Borough of Southwark,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Southwark,GBP,30000,2020-01-29,London Borough Of Southwark,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Borough of Southwark,GBP,20000,2020-01-29,London Borough of Southwark,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Leathermarket JMB,GBP,19990,2020-01-29,Leathermarket JMB,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to The Conservation Volunteers,GBP,7266,2020-01-29,The Conservation Volunteers,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Burgess Park,GBP,6564,2020-01-29,Friends of Burgess Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
